,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,Description,PhotoAmt,AdoptionSpeed
188,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,For Adoption,4,2
189,Cat,2,Domestic Short Hair,Female,Black,White,Medium,Short,No,No,Healthy,0,"Patches is born on Mar. She is now on solid food and is toilet trained. She is independent and healthy and yet to be vaccinated. She has white body with black patches on the head hence the name Thanks to Elizabeth, patches is now in a loving home witha great new owner. Thanks so much!!",3,1
190,Cat,8,Tabby,Male,Golden,No Color,Medium,Short,Yes,Yes,Healthy,0,"My cat's offspring Cham is lively and loves playing. although already 8 months, he's a mummy's boy!",2,2
191,Cat,2,Domestic Medium Hair,Female,Black,Gray,Medium,Medium,Yes,No,Healthy,0,Lavender is Nini's kitten Sweet and playful,4,3
192,Cat,9,Tabby,Female,Brown,Cream,Small,Short,Yes,Yes,Healthy,0,"Looking for a playful, caring and affectionate kitten? Maddie the Nomad is approximately 9 months old. Two months ago she was rescued from the streets, as she was malnourished, suffering from cat flu and heavily pregnant. The tablets prescribed by the vet to treat her caused a miscarriage but perhaps that was the universe saying she was too small to give birth. Since then she has been treated for cat flu and has been spayed. She has also had her vaccinations and been dewormed. We believe that she was someone's pet until she became pregnant as she has no fear of humans and is litter trained. She is very friendly, loving and adores cuddles and playing with her toys. She is not good with dogs. Adoption is free. If anyone is looking for a loving new family member and is willing to give Maddie a forever home, just promise to love her and play with her every day.",3,2
193,Cat,6,Domestic Short Hair,Female,Gray,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,"Small grey tabby cat with large green-yellow eyes. Very cute, very friendly kitten that followed friend home in her car. Possibly a lost pet but have not been able to locate owner. She was found at Taman tun near the MAYBANK and ok restaurant. I think it would be nice for her to have another kitten her age to play with as very active.",4,2
194,Dog,18,Beagle,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,Chanelle found a home!,10,0
195,Dog,14,Mixed Breed,Male,Brown,No Color,Large,Medium,Yes,Yes,Healthy,0,Very well taken care dog,3,0
196,Cat,2,Domestic Short Hair,Male,White,No Color,Medium,Short,No,No,Healthy,0,"A beautiful male, white kitten with black ears and black tail. Ten weeks old, charming and playful.Interested cat lovers can contact,",2,1
197,Cat,12,Bengal,Male,Black,Gray,Medium,Medium,Yes,Yes,Healthy,0,"Noizy dari kacukan MIX BENGAL | Noizy's from MIX BENGAL hybrids. Kepada siapa yang berminat, boleh hubungi kami intuk mengatahui lebih mendalam lagi | For those who are interested, please contact us to find out more..",1,4
198,Cat,12,Domestic Short Hair,Female,Black,Brown,Medium,Short,No,Yes,Healthy,0,Cute cat loves to scratch under the body,1,4
199,Dog,1,Collie,Female,Black,Cream,Medium,Short,No,No,Healthy,0,"Pup two of two... meet Jill the Walnut (born on 3rd-April-), sister to Jack the Peanut. Nicknamed walnut cause she is so much bigger than her brother. Looks like a mini version of her dad. You can look at how the collie mom & dad(s) looks like in my past posting of season 1 & 2. If you can't find them, just sms me a request and I will attach them to the season 3 profile. Rescued this little rascal from impending doom after falling into the drain twice during/before a downpour. She learnt her lesson since and has not landed in the drain to date.",5,1
200,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,Bunny was found abandoned in PJ Old Town. Please give her a home!,2,3
201,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,"was found under the car alone , quiet and snore a lil bit while sleeping",2,1
202,Dog,3,Mixed Breed,Male,Cream,White,Medium,Medium,No,No,Healthy,0,"Someone had dumped this husky mixed puppy at Devakie sister’s neighborhood today. The puppy are around 3 months old. Devakie sister is appealing to anyone who is interested to adopt a puppy to save the puppy as she has already got 3 dogs in her home and could not take in more. Though she is feeding the puppies now but it’s still very risky to leave him on the street. Those who are interested to adopt the puppy, please give a call or SMS immediately to Devakie. Location: Gelugor, Penang.",4,1
203,Cat,6,Domestic Short Hair,Female,Yellow,No Color,Small,Short,Yes,Yes,Healthy,200,"Adoption fee includes the basic medical expenses of the animal : spaying + 3 vaccinations. GERBERA is a tropical plant of the daisy family, native to Asia and Africa, with large brightly colored flowers. Just like this little kitten that we are fostering - Gerbera, she is as beautiful as the flower. Gerbera was rescued months ago at a food court, she was only a 2 months old baby during that time. Poor little baby was hiding under a car and meowing loudly seeking for help as there were a group of excited dogs wanted to hunt her and they kept running and waiting around the car. With help of some kind people there, we managed to shooed those doggie away and brought her home. Gerbera loves a lot to have companion and friends, she do not like much to be cuddled but she will always stay beside you and ask for a pat and ""massage"", she lovesss a lot when people sayang her. Gerbera is always happy when we're back home, she will always purr when we're at her side. But Gerbera has a habit and we do not know why she has such habit..most of the time when we stand near the window she will quickly run towards the window and climb on the window grill, as if like she's making a performance and telling us that she's good on this (we tried to stop her at the beginning but still..she want to let us know that she's good at this..a spider-cat Gerbera! :P) Gerbera behaves very good on bathing time but she do not like to share her food and toy with her friends. She can eat together with friends if in different bowl but when they re eating same bowl of food, she will be very nervous and lift up her front paw to stop anyone from nearing the bowl but of course she do not bite or hurt anyone.. Interested to adopt? Please kindly read our requirements: - Always keep cat indoor all the time - Agree to bring her for yearly vaccination - Provide balanced meals and fresh water all the time - Allow for home visit - Love and treat her like your own precious family members Please give a home to Gerbera ♥",6,4
204,Cat,3,Siamese,Male,Black,White,Small,Short,No,No,Healthy,0,Mixed breed Siamese. Active and healthy. Adopter bring him to vaccine and deworming.,1,2
205,Dog,3,Mixed Breed,Male,Brown,No Color,Large,Short,No,Not Sure,Healthy,0,"He is a 3 months old puppy, rescue from Vietnam workers ( they plan to eat it.....) Playfull, and healthy, like to follow people.",3,2
206,Dog,24,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Minor Injury,20,Met with an accident and fractured 1 leg. She has healed completely long time ago but this limb is dysfunctional. Looking for a forever loving home.,2,4
207,Dog,1,Mixed Breed,Male,Brown,White,Medium,Medium,No,No,Healthy,0,He is healthy and very active. You will love them when you see him. please come forward to be their owner.,1,1
208,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,250,"big big girl a dog found wandering on the street in search of food. he Handsome , friendly, nice,goofy, funny , Please adopt him. For serious adopters only..",13,3
209,Dog,2,Mixed Breed,Male,Golden,No Color,Medium,Medium,Yes,No,Healthy,0,Apollo was abandoned at the Shelter 2 months ago with his eyes still closed and without his mother. It was a uphill battle to raise him on bottle feed. He is absolutely adorable and people friendly. A cute little pie. Please open your heart and home to him. Call me at to adopt the little prince,1,2
210,Dog,7,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,"This female dog was rescued from a wet market near Cheras when she was about two months old. The fosterer can't keep her long cos they had no time to take good care of her as they are busy with their business. She is active and energetic, so the adopter might need a little time and patience to guide and train her. You'll definitely shower by her love in return. Interested kindly pm/whatsapp Veron at . Thank you very much!",1,3
211,Cat,3,Domestic Long Hair,Male,Black,Golden,Small,Long,No,No,Healthy,150,Mok is very active and like to play. I hope can find loving and caring owner to take care of Mok. The adoption fee will be used to buy food for other cat in my home,3,1
212,Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,Missy is looking for a good home and family that can love her and treat her as part of the family. Are helping a couple to upload this photo for adoption. Please call or what app to this no if interested :,2,3
213,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,No tying or caging for long hours except for precautionary purposes Commitment to spay her is compulsory Interested to adopt pls call me,9,2
214,Dog,55,Beagle,Male,Black,Yellow,Medium,Short,Yes,Yes,Healthy,0,"Rocco is an adorable beagle. My wife bought her to me 4 years ago, almost when we just arrived. Rocco loves to be among people, she's very playful and excellent to get along with cats since she has grown up with couple of them. Unfortunately I'm moving and I cannot bring her with me. It's really heartbreaking but I have no choice. Rocco is partially trained, understands ""sit"", ""stay"" & ""down"". Always at night we go out to take a short walk and play for a bit ( min) and then I feed her.",5,2
215,Dog,2,Shar Pei,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,"If contacting me via phone, would appreciate text/whatsapp first as it's not always convenient for me to attend to calls. ""Hi, will you take me home? I'm sweet like the Japanese dessert dango hence my temporary name. I'm also a bit shy, but I'll love you super quick if you have food! My mommy is a stray that my fosterer has been feeding. Not sure who my daddy is - maybe a handsome mastiff or sharpei? I've got these adorable face wrinkles that make people go awwww. I have two siblings looking for homes as well so do check out their profiles. I'm the only girl in the litter - the rose among the thorns, teehee! I will probably grow into a MEDIUM size dog, so please take this into account when you fall in love with my adorable mug yeah?"" Conditions for adoption: 1. No unnecessary tying/caging up. 2. Maintain medical needs (vaccinations, deworming, heartworm prevention etc.) 3. Neuter once old enough (approx 6 months). 4. Puppy-proof your compound. 5. Willing to train and tolerate typical puppy behaviour. 6. Love them unconditionally - puppies aren't toys, cherish them even after they outgrow their cuteness :) To help determine if you and the dog you're interested in are a good fit, would appreciate it if you could email/text with: - A brief intro of yourself - Your experience with dogs if any - Your household situation (what type of home you live in i.e. landed or apartment, whether you have other family members/friends living with you etc.) - Any other pertinent info that will help match you with the right pooch :)",3,2
216,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,"She is a puppy given birth by a stray dog, which i found in an empty land. I have sent her to a vet for check up, and she has been dewormed. The first vaccine has been given to her last week. The second and third vaccine has been paid to a vet in Kepong, you just need to bring her back for the vaccination. I strongly recommend to spay or neuter her by the age of 6 months, so it will be more hygiene and controlling the breed. You can bring her back to the vet in Kepong for spaying, as the cost has been covered too.",3,3
217,Dog,36,Spitz,Female,Golden,Cream,Medium,Medium,Not Sure,Yes,Healthy,0,"Lily was left behind when her owner moved out of their squatter home in Old Klang Road. Can't understand why people can be so hard-hearted but we hope to find her a good home as she deserves it. Small to medium size, about 10 kgs only. Friendly and affectionate with a cute bob tail. Gentle and sweet, quiet and adorable. Gets along well with all dogs and humans, great for kids and a wonderful companion to all. Please give her a loving home.",9,3
218,Cat,1,Domestic Medium Hair,Female,Black,Yellow,Medium,Long,No,No,Healthy,0,"Introducing pretty little Kairi! ♥ Female kitten, 5 weeks old, long-haired calico girl with gorgeous green eyes. ♥ Rescued in Seri Kembangan (/), checked at the vet and given a clean bill of health. ♥ Very calm mannered girl. Gentle and curious personality. ♥ Very manja, loves being lap-cuddled. Sociable around other cats and kittens (as long as they're not aggressive). ♥ Has been de-wormed (once) and given flea medication. Kairi is still too young to be vaccinated. ♥ Currently on Feline Caviar kibbles (dry). Already clever with the litter-box. ***PLEASE READ***: - New family home must be landed (no apartments). - Kairi must be kept INDOORS at all times (home must be cat-proof, NO caging). - Adopters MUST spay/neuter her at the right age. - Kairi must be fed premium food (no Whiskas, Friskies kibbles etc). - Adopters must have a steady vet clinic in case of emergencies. Please drop me an email or call if you feel that you may be just the right person for Kairi. Thank you!",10,2
219,Cat,6,Siamese,Female,Brown,Cream,Medium,Medium,No,No,Healthy,0,I can't manage to have a lot of cats to take care.owner neglect her kitten n mother in front my house n don't want to take care of them.she want to dump this cats at market because she don't want them.so plz help me adopt this kitten and take a good care,3,4
220,Cat,6,Domestic Medium Hair,Female,Brown,Cream,Medium,Medium,No,No,Healthy,0,"dengan berat hatinya, sy terpaksa let go vincci dan polo. umur maybe dlm 6 bulan kot. vincci adalah DLH dan polo adalah DSH tp dorang ni siblings. mesti adopt kedua2nya skali sbb dorang xleh berpisah. so skrg sy mencari tuan baru yang penyayang dan dpt jage dorang dgn ok. vincci xde masalah nk berkawan ngn kucing lain tp polo akan take time sket. ferdaus. sob sob.",3,1
221,Cat,4,Bengal,Male,Brown,No Color,Medium,Medium,No,No,Minor Injury,0,"i found this bengal near Seksyen 10 Shah Alam got a minor scratch on his body, maybe he got into fight with other strays i think. as i know about his behaviour he is pretty paranoid but not aggressive, very manja during meal time, and playful..he's toilet trained so don't worry. (=^ω^=)",4,1
222,Dog,2,Mixed Breed,Female,Brown,White,Medium,Medium,Yes,No,Healthy,0,She was given birth by her mother who is a pet of an irresponsible owner who didn't spay their pet. She was put in a box which was tied and leave only a tiny hole together with 6 other sibling and dump in a market in the middle of the night. Very beautiful puppies. No caging or tying for long hours except for precaution purposes. Commitment to spay her is compulsory Serious adopter pls call me.,3,1
223,Dog,5,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,"Female puppy, 5 months old, toilet trained and good natured. Vaccinated and dewormed. adopter required to neuter dog after adoption, please call",1,2
224,Cat,20,Domestic Medium Hair,Male,Black,Gray,Large,Medium,No,No,Healthy,0,"Chiko kucing yang aktif. Dia memiliki 6 jari dan mempunyai corak bulu yang cantik, ada yang mengatakan dia Bengal cat. Dia memerlukan rumah baru kerana kami sudah tidak mampu menjaganya lagi di rumah baru kami dengan persekitaran yang tidak kondusif. Kalau berminat boleh hubungi saya ya. Terima kasih.",4,1
225,Dog,2,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,"2 months + old puppy looking for home, serious adopter who would give her a forever home, please directly contact with me or sms, thank you!",6,3
226,Dog,7,Mixed Breed,Male,Brown,White,Medium,Medium,Yes,Not Sure,Healthy,0,Please e-mail me for adoption.,1,1
227,Cat,1,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,"Introducing handsome little Haru! ♥ Male kitten, 5 weeks old, tuxedo/""domino"" colored boy with hazel green eyes. ♥ Active & frisky boy, LOVES to play & run about! Gentle around people and an absolute attention seeker. ♥ Knows how to talk (meow) back when spoken to! :) ♥ Has been de-wormed (once) and given flea medication. Haru is still too young to be vaccinated. ♥ Currently on Feline Caviar kibbles (dry). Already clever with the litter-box. ***PLEASE READ***: - New family home must be landed (no apartments). - Haru must be kept INDOORS at all times. - Adopters MUST neuter him at the right age. - Haru must be fed premium food (no Whiskas, Friskies kibbles etc). - Adopters must have a steady vet clinic in case of emergencies. Please drop me an email or call if you feel that you may be just the right person for Haru. Thank you!",6,1
228,Dog,1,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,Katniss is beautiful with silky black fur. She's the most active in the litter and loves playing with ribbons.,1,3
229,Cat,28,Birman,Male,Black,No Color,Large,Long,Yes,No,Healthy,0,Vader is a very loving cat who has always been indoors. He is obedient and loves cuddling.,5,2
230,Dog,24,Belgian Shepherd Malinois,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,250,"Subang was rescued from Puchong dogpound together with 5 of her pups. None of her pups survived. She is a sherperd mixed. She is extremely loyal to the aunties who feed her daily. She can be very obedient & makes a good watch dog if you are willing to train her. She has been spayed. Adopters must shower her with TLC as she definitely deserve an awesome home! For more info, email us at: Spread the ♥, Share the link =) Help more furrizens in the shelter go to AWESOME home! Blog : LIKE us on Facebook :",9,4
231,Dog,12,Mixed Breed,Male,Brown,Golden,Medium,Medium,Yes,Yes,Healthy,0,"It's a very intelligent, obedient, playful dog and is very gentle with children. The dog knows the way back home and does not need a leash. It will follow you home and very good guard dog. It eats homemade food.",0,4
232,Cat,4,Domestic Short Hair,Male,Black,Brown,Medium,Short,No,No,Healthy,0,Ini adik beradik si Baby. Dia ni pun manja. Memang active. Kalau berminat sila call;,4,4
233,Dog,2,Mixed Breed,Female,Black,Golden,Medium,Medium,Yes,No,Healthy,0,The chubby looking girl was dumped with her siblings and was rescued off the streets. Cocoju is so loving and adorable. She is playful and wants attention. She will make a good companion to children Please call if you wish to adopt. Call us today,4,2
234,Cat,2,Domestic Medium Hair,Male,Yellow,No Color,Small,Short,Yes,No,Healthy,0,"Meor is a very friendly kitten, i found him near a shoplot. i brought him to the vet for checked up and the doc said Meor is a healthy cat. Please whatsapp me if u want to see Meor.",5,1
235,Dog,1,Mixed Breed,Female,Black,Brown,Small,Short,No,No,Healthy,0,Cute and active.,1,4
236,Dog,5,Beagle,Female,Black,Brown,Medium,Short,Not Sure,Not Sure,Healthy,300,finish 3 injection free skin vitamin pls call,1,1
237,Cat,22,Domestic Medium Hair,Female,Black,No Color,Medium,Medium,Yes,Yes,Healthy,0,"Poppy is a healthy, near to 2 years old female cat. She's entirely black, active, independant, smart and can be naughty some times. Poppy has been spayed, de-wormed, and vaccinated. The reason I let go of her is my personal health issue and I can't afford to keep a cat in the house anymore.",7,4
238,Cat,36,Domestic Short Hair,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,"During Holidays in Penang, She found me on the beach and I couldn't resist her cuteness, took her back to Nilai . and everytime I would go to my country for holidays (MAuritius) I would leave her at my friend's place, they would all like her as she loves people and is very sweet, playfull. She use to goout of the house and come back after 1 day but since she is neutered she is at home but still curious to go outside. She is very friendly, funny and understand when she is scolded.",4,4
239,Dog,36,Spitz,Female,White,No Color,Medium,Medium,Yes,Yes,Healthy,0,Mimi is a happy and active dog. Pls contact,2,2
240,Dog,8,Mixed Breed,Male,Yellow,No Color,Medium,Short,Yes,No,Healthy,0,Followed my sister back to our apartment. we showered him and just found a few ticks in his body.doctor said he's about 8 months old and already had his first injection. very submissive dog. very playful and quiet type. staying outside my corridor and scared will complain by neighbours.,2,4
241,Dog,10,Mixed Breed,Female,White,No Color,Medium,Short,No,Yes,Healthy,0,"chorbath friendly with every one,she is a graceful and quiet dog.",2,4
242,Dog,2,Mixed Breed,Female,Brown,Yellow,Medium,Short,No,No,Healthy,0,"Million is a yellow mongrel. She was rescued at my boyfriend's workplace. She's approximately 2months-3months old (not too sure, but there's teeth growing out) She has been groom and checked by groomer that she's clean and no kutu on her body. Million's appearance : - Yellow colour - Short coated - Small sized - has a puppy eye that kills ;) - has mild skin problem that needs a loving owner to take care :) Million's character : Million is a very smart dog as she knows how to respond to her own name the day itself i rescued her. She's loving and easy to teach. She's very friendly and loving, very easy-going with other dogs. Million is very obedient as well, the groomer told me she is very obedient when she shower her :) Anyone would like to adopt her, can contact me directly . I couldn't take her in as I have a dog at home and I'm leaving to UK very soon in September and no one will look after her after i left. Please give baby million a chance to live, she can be your loyal companion and she can look after your house when she grow bigger in future. Please give baby million a forever home. thank you :) *woof* p/s : try not to cage it :) and a pack of dog food & bowl will be provided when adopting :)",4,4
243,Cat,2,Domestic Medium Hair,Male,Black,White,Small,Medium,No,No,Healthy,0,Lost and homeless. Dah tiba musim membuang kucing di Putrajaya. mushtash adalah salah seekor kucing yg malang tersebut.,4,4
244,Dog,3,Mixed Breed,Male,Black,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,"Hi, I'm Randy, few weeks ago I got beaten by human, and caused me broken leg. But I'm lucky as I was rescued by a rescuer, she brought me to vet for treatment. Now, I have fully recovered and healthy. I hope someone can give me a new home.",2,4
245,Dog,3,Mixed Breed,Female,Black,White,Medium,Short,No,No,Healthy,0,"Type of Pet: Puppy Name of Pet: White Socks Age: 3 months Breed: Mixed/Mongrel Sex: Female Location: Batu Ferringhi, Penang Contact: Aunty Jenny ()",2,3
246,Dog,60,Shih Tzu,Female,Black,White,Small,Medium,Not Sure,Yes,Healthy,0,"Sue was found abandoned at the tennis courts in Damansara Jaya, PJ. When found, she was very weak, not eating and skin & bones. I took her in to my regular vet for a check-up and was given a clean bill of health. She has started to eat and we are pumping her with all the food we can get our hands on to fatten her up again. Sue is a lovely shih-tzu with very unique markings. She will make a lovely companion to anyone who is kind enough to provide her a home.",1,3
247,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,No,Healthy,0,Smart Puppy,1,2
248,Cat,12,Domestic Medium Hair,Male,Brown,White,Medium,Medium,Yes,Yes,Healthy,0,"Oreo came to our house hungry, sick and with an injured leg when he was a few months old. We took him in and care for him. Now, he's a healthy, active and a fun loving cat. Reason for giving him up for adoption is that we already have another cat and they cannot get along. Our first cat is more feirce and always bullied Oreo.",2,1
249,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,Dog 4 Adoption,1,3
250,Dog,1,Mixed Breed,Female,White,No Color,Medium,Medium,No,No,Healthy,0,Very cute and friendly. Mustadopt! :),1,3
251,Dog,24,Mixed Breed,Female,White,No Color,Large,Short,Not Sure,Yes,Minor Injury,0,"Whitey is a beautiful and loving dog. However, she was abused by the neighbors till one of her eyes is injured now. She is looking for a serious and patience adopter who can give her the love that will help her to heal her wound emotionally and physically.",2,4
252,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,200,Smart & playful & loyal companion friend :),6,4
253,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,Oliver is one of three brothers looking for a home. They are cute and chubby. Oliver has a distinct white tip on his tail. He is calm and loves to eat. Neutering and vaccination are compulsory. Please call if you can give them a good home.,7,3
254,Cat,12,Domestic Medium Hair,Male,Black,No Color,Small,Medium,Not Sure,Not Sure,Healthy,0,"Cute kitty need homey, found lost alone at Shah Alam. Urgent adopter needed for this lovely cute kitty. I can keep due to condo restriction",1,4
255,Dog,12,Mixed Breed,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,Female dog for adoption,1,4
256,Dog,1,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,No,Healthy,0,"This puppy is currently living in an abandoned carpark and if not adopted, might be caught by the council as people has filed complaints against them. Very cute and will be neutered and vaccinated once it is 3 months old.",1,3
257,Cat,11,Domestic Short Hair,Female,Black,Yellow,Medium,Short,Yes,Yes,Healthy,0,"Amber was found in a rubbish dump with her 2 other siblings when she was a week old. They hadn't been fed for many days it seems. However, with the help of Ruby, my own female cat at home, Amber has grown up to be a pretty girl. She has small eyes compared to her other siblings (that's where the Chinese nickname comes from). She's a special cat that has the flexibility to twist her body, and even likes to drink from her paw. Unfortunately, this smart and brilliant cat is afraid of heights. ^^ Below are pictures of Amber growing up :)",11,2
258,Dog,74,Shih Tzu,Male,Brown,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,"I have one smart male dogs with me, which I have to give away as I now have a child and sadly he is sensitive to the dogs fur, their details are as below. It is very hard for me to come to this decision, Do contact me if only you are an animal lover, Thank you so much. (for more enquries& BOBO (shi tzu) Male 6 years White & brown",2,2
259,Dog,36,Terrier,Female,Brown,Golden,Medium,Long,Yes,Yes,Healthy,0,Naari is the sweetest girl who walked the earth. She just likes to be patted and most of the time minds her own business... If you give this sweet girl a chance you will never regret it. Please open your hearts to her. Call us immediately at. A must view.,3,3
260,Dog,3,Mixed Breed,Female,Brown,White,Medium,Medium,No,No,Healthy,0,Dog 4 Adoption,3,3
261,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,"Bonnie adore human touch and yearn for owner attention. You will be impressed by her frolic, cheerful and playfulness. And find joy with her",6,3
262,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,Girliee is a sweet girl who is friendly and playful. She touches the heart of many with her sweet face. Please call us urgently at if you wish to adopt.,4,3
263,Dog,48,Poodle,Male,White,No Color,Small,Short,Yes,No,Healthy,0,Toy male poodle for adoption. Lovable dog,1,1
264,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,"This cute puppy with tiger-like colouring was rescued from USJ 1 factory area in Subang Jaya with her siblings. Adopter must commit to spaying the puppy. As she is still too young, I will bring interested the adopter to my vet in Taipan, Subang where adopter shall pay the vet RM spaying fee(this is RESCUE RATE) and keep the receipt until the puppy is old enough to be spayed. Just bring the receipt back to the vet and the doctor will proceed to spay with no additional charge. Address of clinic is Kinik Veterinar Mayo, 11A, USJ 10/1G, Subang Jaya and name of doctor is Dr. Khor. Please contact Mdm. Jocelyn at for adoption.",8,3
265,Dog,36,Poodle,Male,Brown,No Color,Small,Medium,Not Sure,No,Healthy,0,This poodle was found in Taman Jasmin 2 in Kajang a week ago. He was loitering around the guardhouse and no one has come to claim him so far. Please spread the word and help us find his owner.,3,2
266,Cat,3,Domestic Long Hair,Male,Black,White,Medium,Long,No,No,Healthy,0,Adopter must agree to spay him. Very affectionate and love reaching out his tiny little paws to touch u for attention. Also loves playing with your hands and always focus while looking at you curiously when being talked to. Already start eating solid food . Active boy and thick fur. I find his eyes very charming.,5,2
267,Cat,4,Domestic Short Hair,Female,Black,Gray,Small,Short,No,No,Healthy,0,"the cat came to my house last week out of nowhere and keep meow all the night, so i just take and clean up her. the cat is very active and have a nice looking. i dont exactly know how old is she. so i want to give this cute cat to whoever want to take care of her.",3,1
268,Dog,1,Labrador Retriever,Male,Black,Brown,Medium,Short,No,No,Healthy,0,Extremely healthy and cute....,5,3
269,Dog,60,Schnauzer,Male,Black,White,Medium,Short,Yes,Yes,Healthy,0,Kindly email me for more info,1,2
270,Dog,2,Mixed Breed,Female,Black,No Color,Medium,Medium,Yes,No,Healthy,0,"Sunshine is a cutie who was abandoned near a river. Her siblings were rescued with but one of them was washed away in the river. Sunshine is very calm and has a pleasant face. Please open your heart and home to her. If you wish to adopt, call us at.",1,2
271,Dog,4,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,"Choko is an alert and happy little pup. She will not be very big, just between kgs at maturity. Very calm and observant. Neutering and vaccination cost to be borne by adopter. Please call if you can give her a good home.",4,4
272,Cat,2,Domestic Short Hair,Female,Black,Yellow,Medium,Short,No,No,Healthy,0,Rescuered by Ling. Already dewormed.,1,1
273,Dog,3,Mixed Breed,Female,Golden,No Color,Medium,Short,Yes,Yes,Healthy,0,"Slightly smaller than a medium size dog. Can be kept in an apartment. Relau, Penang.",7,4
274,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,SHE IS A 7 WEEKS OLD FEMALE PUPPY. WITHOUT SHELTER BORN IN THE BUSHES. WILL BE SOAKED WHEN IT'S RAINING. HOPE TO GET HER A GOOD HOME. CUTE CUTE,1,2
275,Cat,1,Domestic Medium Hair,Female,White,No Color,Small,Medium,No,No,Healthy,0,Jessy is a sweet and lovely kitten. She already toilet-trained and still learning to eat kibble. Prefer to be adopted in pairs. (with   Chezzy) Please take note: Rm is imposed as a safe deposit which will be returned to the owner once the owner spay Jessy within 5 months. *COMMITMENT TO SPAY JessY IS A COMPULSORY! tqvm!,10,1
276,Dog,18,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,Yes,Healthy,0,他是被丢在工业区的宝宝，这里两条街大概只狗狗。因为狗狗太多的关系已经惹得店家的厌恶，被报了两次MPSJ，还被追打，狗狗是无辜的，没人想当一只被人厌恶的狗。 如果狗狗不合你们的眼缘，请求大家问问身边的朋友，狗狗会对你们忠心一辈子，永不背叛。感恩。 蒲種区，雪兰莪。....... WHATSAPP,3,4
277,Cat,3,Domestic Short Hair,Male,Golden,No Color,Medium,Short,Yes,No,Healthy,20,Must always keep indoor. I will make pay the spaying fees. Please bring back to me when right age for spaying.,0,2
278,Cat,6,Domestic Medium Hair,Male,Gray,White,Medium,Medium,Yes,Yes,Healthy,120,"Location: Puchong (Bandar Kinrara) Hi I'm Momo! I'm a highly intelligent kitten that is very attached to people. I love to get myself cosy on people's lap. I'm a curious one, a fast learner and can do many things that young kittens cannot do yet because I am smart! They say I talk(meow) a lot, but I'm just being extra friendly and warm. No worries about my litter, for I am litter-trained.I am also fearless, water shower and hair dryers does not scare me one bit! If you want me to be your companion, I'm available for adoption from January onwards. I am already neutered, vaccined and dewormed by Goh Veterinary. My current owner just needs to make sure that I will be in good hands! Thank you!",5,2
279,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,No,Healthy,0,"Pooch was found by my mother being kept under very poor conditions in enclosed cement barrel with unsuitable food and no water (only cow's milk which is bad for puppies). Pooch has a bad case of mange and was initially pooping a lot of watery discharge. He was also initially very frightened. He was treated with mange medication for over a month and is now a healthy, happy and very active puppy. To know more about his story, please visit my blog here: If interested to adopt and give this happy pup a good home, please contact my mother Jocelyn at. Thank you!",14,2
